X,Y
1,0.10119439766096716
2,0.32336625305176736
3,0.1893209987930703
4,0.3110097196879833
5,0.11533889378594653
6,0.6782407148020867
7,0.5997802716039177
8,0.013175122028364239
9,0.9774561732429361
10,0.5038304712481778
11,0.7156719377672304
12,0.1425453255025918
13,0.4674569424102094
14,0.7278797061105451
15,0.14922763427545305
16,0.3476137103316723
17,0.7940250441509359
18,0.32881700561961125
19,0.7379909890731103
20,0.8705052602346133
21,0.3942392355900536
22,0.4613557968046167
23,0.5142295631513356
24,0.6875467645437324
25,0.31771212979106145
