(0.5, 18.196599259677562)
(0.5, 23.935524413499856)
(5.015343037873471, 14.22393748199435)
(3.3239608280813373, 21.167815813030806)
(4.024923257196195, 21.282470730781895)
(0.5, 22.2168804784538)
(0.5, 21.969954342057612)
(1.7550499003110849, 22.295501513718456)
(1.710827986136497, 20.472701052927086)
(1.8342915234820776, 19.056118382164527)
(2.7379853728103853, 24.576327012500194)
(0.5, 20.6634708951223)
(0.5, 20.14863212614589)
(0.5, 19.418693746150467)
(0.8161384322655314, 22.475057175728075)
(0.5, 19.63880613365207)
(0.767186439573126, 20.326329972183817)
(0.5, 20.113059872228785)
(0.8868874377158997, 21.271822887358415)
(0.5, 23.120225868876428)
