(0.5, 21.937714740992597)
(2.444528726474215, 22.19495030570201)
(2.886616448504097, 20.748472245393728)
(3.657557658906697, 18.848860578642416)
(0.5, 21.728820614954266)
(1.5406102663379162, 20.95986889876942)
(0.8576601547297651, 21.118033123633467)
(2.1514097495727853, 23.343378632403336)
(2.595244636518988, 21.862420948153552)
(0.5, 21.58876147298857)
(0.5515667509921416, 22.995805581887538)
(0.5, 20.231843976401887)
(2.320674780744106, 20.92147534060642)
(5.050782953615241, 11.66611921262964)
(1.7499430606752329, 20.73549947353274)
(0.7187731000125641, 23.076948035643156)
(0.5, 23.261367825425847)
(3.1797502230815438, 22.3682976583658)
(1.0643456687827353, 19.55198987183738)
(0.5577802620823258, 22.359038777990484)
