X,Y
51.552934877217375,33.945605798881644
49.46997969164617,31.404536477868426
50.61220092330749,34.01918633509915
50.92484708280015,31.803324204037573
48.93694847355719,32.084733701949474
50.6798539150724,32.307958357593215
49.515030596384996,32.19939854084688
52.54239972796237,34.879879654582304
50.170718569374905,30.795949330273466
49.971967645881456,31.087347499801123
49.60084497387776,30.915293338909336
48.54520454156698,32.38374802457493
48.20552588451123,30.95823428973923
51.51868906049215,31.745398883706848
51.75091979548496,33.13311331499775
47.49535084802893,29.87069668414548
68.50832185909472,45.34502010033966
69.72894062323222,43.97936053870684
69.87653501323183,45.73759264306813
69.32596636295469,44.80244779378684
69.40474784899567,47.02089252257654
67.25519826215158,43.01424510335889
68.63203209885212,42.90151163081178
69.63436964409337,44.95861293321549
68.47955735365909,43.10130783872333
68.50247558607494,45.362484247385154
69.00478128984014,43.22934828323321
67.50639311411486,42.83972328435981
69.01240084548317,43.5116645900467
68.39840082594968,45.43503360506441
68.23974688763572,43.242496931330294
69.39805708598625,44.186594859211766
86.20752127767427,52.36497670753118
87.91576787891889,55.27650944689908
88.62007970180696,56.67418093445807
88.54664709276624,56.03636017193203
86.40236604548184,55.81123287293602
87.90389899515894,56.10581184313381
86.43315089892992,52.967720953012986
88.43905159596791,57.59766101952778
86.35058283373964,55.33849628367107
88.84872509895717,55.61404441651923
86.0270201373788,55.86258565392207
87.28227832212869,55.02634991169232
89.1738232761264,56.90942242571611
87.94175240151814,55.558003264354575
85.76921262207826,56.865326408520076
86.36224402449432,54.33323256539288
73.4416789838536,51.744578516162754
