X,Y,Label
1.2376961391761356,0.3420435234111986,cluster_0
-0.6366640752736525,-0.9229975862372661,cluster_0
-1.0334694310459909,1.3484905240681586,cluster_0
-0.2506920574437121,0.05063943334106823,cluster_0
-1.0225690964395513,-1.359942062075791,cluster_0
0.7574748760831347,-1.2606945147142974,cluster_0
0.25712406090434975,-2.506280280897743,cluster_0
1.5624424439632523,0.5099518906411438,cluster_0
-1.0373930980911286,0.7319651526699612,cluster_0
0.22764979934475732,-0.6502176298010021,cluster_0
-1.0407367823451381,-0.5677900459979378,cluster_0
1.0028423823905526,-0.20139492094505584,cluster_0
1.2893256731139948,-0.03450789480782346,cluster_0
0.29913900533678695,-0.5998567420473299,cluster_0
-0.19214365099991187,0.9282300160563278,cluster_0
-0.29897204174676395,1.2047150245412368,cluster_0
6.279721476113836,-2.291545769268129,cluster_1
6.348145172575757,-2.469787709608075,cluster_1
7.719886844829299,-4.039823534906816,cluster_1
6.986319329812518,-3.659459787902046,cluster_1
4.878278705249489,-2.681619648517427,cluster_1
9.328383372720461,-1.4521331137555609,cluster_1
5.663048716905183,-2.9567735150289916,cluster_1
6.439233657072071,-2.5119024349452346,cluster_1
7.033143875112773,-2.9401889871308517,cluster_1
8.309998181928123,-3.809896861751174,cluster_1
5.425201902242558,-3.8208315445461345,cluster_1
6.964296014120313,-4.362852846162053,cluster_1
6.095354557908456,-4.131346678612981,cluster_1
6.8557807632397125,-3.0093419139168205,cluster_1
6.4366571580238725,-3.759526677800702,cluster_1
6.770913759709773,-4.288901947801043,cluster_1
12.280708820881749,-7.126529623827964,cluster_2
12.393534458098909,-6.61221648486774,cluster_2
13.481270135596935,-6.242642304718913,cluster_2
12.388788298489294,-4.675429737523487,cluster_2
12.361593080312346,-5.499895181136846,cluster_2
13.631850100593427,-7.274766090161858,cluster_2
16.190027797434713,-6.586650353141696,cluster_2
14.40389250469479,-6.672587280614859,cluster_2
15.268795078260945,-9.064042130546715,cluster_2
15.434333698700508,-8.196882879603152,cluster_2
13.639674073297636,-5.1785006550287305,cluster_2
12.542638223244104,-6.685476760775466,cluster_2
13.751339140871352,-6.005053542005777,cluster_2
14.811647567742593,-7.070413945353449,cluster_2
12.209852616994377,-4.456008591208243,cluster_2
13.893763550976228,-6.265600541012067,cluster_2
22.912090507181205,10.795571492661335,outlier
10.835723542055725,17.275250176201165,outlier
