X,Y
-0.08,0.34
-0.41,1.84
1.22,0.06
0.3,-0.85
1.17,1.26
-0.81,-1.1
-0.3,-0.32
-0.36,0.6
-0.56,1.74
0.07,-0.06
0.26,-0.76
-0.19,0.85
-0.19,0.33
1.01,1.35
-0.56,0.65
-2.0,-0.28
6.93,-0.31
5.26,-0.05
7.08,-1.22
5.57,2.08
6.07,0.54
6.79,-0.11
7.01,0.17
5.88,-0.98
6.1,2.2
6.19,1.3
7.44,0.13
8.45,1.45
6.31,0.04
7.65,0.23
7.29,0.47
7.65,1.66
14.47,-0.14
12.54,-0.13
12.8,1.93
14.48,1.23
13.03,-0.0
14.24,0.29
12.66,2.06
14.12,2.82
14.24,1.97
11.6,0.07
12.06,0.86
12.79,-2.01
15.47,1.32
10.97,-2.69
14.43,1.98
12.89,2.54
14.24,1.97
12.06,2.06
-2.16,1.24
