X,Y
-0.86,-0.05
0.73,0.42
1.19,-2.93
-2.50,2.20
-1.71,1.15
-0.34,-0.86
-1.01,0.49
2.20,0.70
2.11,-2.31
0.06,1.07
1.68,-0.00
0.42,-0.68
1.71,-0.97
-1.08,0.88
1.05,0.09
-0.76,1.22
7.80,-3.63
6.30,-3.33
5.69,-3.11
7.42,-3.55
5.65,-3.08
7.10,-3.37
6.11,-0.99
5.81,-3.25
6.57,-3.54
6.50,-2.79
6.89,-3.44
6.62,-3.61
6.36,-4.12
8.44,-4.14
4.79,-0.22
15.02,-8.06
13.00,-7.79
12.79,-6.71
10.91,-6.23
13.44,-5.34
12.79,-5.98
12.76,-4.51
13.14,-4.41
13.48,-5.81
12.09,-4.95
13.21,-6.00
11.99,-6.14
13.60,-7.89
15.07,-8.13
10.68,-5.62
4.25,2.82
14.03,-5.85
