X,Y
1.13,1.40
-0.55,0.59
0.65,1.03
-0.76,-0.30
0.62,-0.33
1.65,0.44
0.93,-1.89
-0.96,-1.11
-0.02,0.79
-2.39,-0.47
0.93,1.07
-1.04,-0.32
-1.05,0.66
0.08,-1.18
0.40,-0.51
7.51,2.19
6.86,1.73
7.75,2.05
8.24,1.24
6.49,1.49
5.77,1.01
6.85,1.47
5.37,1.98
5.87,1.93
7.04,0.43
6.59,-0.47
6.43,2.25
6.93,1.28
6.62,1.61
6.59,-1.14
4.39,1.49
13.60,2.31
12.21,3.34
13.11,2.07
14.05,3.02
14.61,2.60
14.15,3.29
14.05,2.39
13.65,-0.19
12.78,3.05
12.79,3.34
14.90,4.17
11.82,3.84
13.25,2.35
12.40,2.65
14.11,3.38
12.43,2.68
-2.00,23.42
-1.68,17.61
