X,Y
31.098965,112.603157
34.516148,100.62853
25.907444,97.778305
19.945109,107.554382
20.818041,112.086163
58.118412,107.950247
23.002335,121.809187
45.566605,89.245501
25.650268,135.222078
15.226349,136.832254
24.302241,119.51155
15.218182,136.796475
32.270399,131.93733
52.646036,73.90694
38.528476,70.443967
50.266852,90.630451
98.041015,97.103583
113.555745,52.024801
105.659396,109.807893
131.810641,59.694139
104.46829,94.400981
110.077051,57.175612
120.909379,67.396861
101.96978,92.104854
109.216562,85.945261
123.372035,27.39856
121.74578,76.028281
94.998856,70.232131
98.337179,53.998508
118.423073,71.245989
104.409206,63.542757
106.85614,85.803291
183.275475,49.634971
211.651999,13.694349
165.3122,55.222278
176.811204,38.252088
203.53598,25.602961
207.786173,25.613273
176.918072,45.29472
173.166433,18.562595
183.393427,53.700356
193.770959,15.012959
206.568074,28.925154
185.056568,26.354573
184.159518,49.567665
186.737424,9.76
180.685116,36.666165
188.68547,40.626379
319.581818,211.36
