X,Y
15.218181818181819,133.271884
27.9,126.200918
40.581818,137.928433
53.263636,119.647927
65.945455,126.646931
78.627273,126.550211
91.309091,211.681768
103.990909,111.788769
116.672727,111.978117
129.354545,127.513678
142.036364,100.216555
154.718182,117.23892
167.4,117.212629
180.081818,132.427783
192.763636,101.950534
205.445455,109.796439
218.127273,102.426379
230.809091,119.504119
243.490909,99.398636
256.172727,79.906885
268.854545,10.0816
281.536364,94.425657
294.218182,98.672341
306.9,120.878601
319.581818,92.260233
